Day,Month,ForecastWindProduction,SystemLoadEA,SMPEA,ORKTemperature,ORKWindspeed,CO2Intensity,ActualWindProduction,SystemLoadEP2,SMPEP2
12,12,1420.99,5401.28,61.68,7.0,33.3,468.75,1280.0,4988.06,73.07
14,7,195.6,2668.82,39.52,11.0,20.4,592.36,175.0,2503.34,39.15
7,9,504.34,3692.83,64.88,10.0,22.2,381.79,465.0,3755.11,115.93
22,4,173.0,3971.65,67.13,9.0,20.4,608.93,198.0,3857.16,49.56
20,10,541.4,3547.8,51.3,11.0,20.4,534.99,509.0,3292.26,50.75
26,2,207.7,5222.43,85.94,5.0,18.5,478.37,89.0,4983.66,92.82
11,12,1337.04,3077.29,35.35,10.0,29.6,411.49,1158.0,2711.81,40.28
17,6,64.6,3456.65,50.49,11.0,7.4,598.59,28.0,3441.37,72.09
18,11,935.43,4953.58,68.08,12.0,29.6,500.35,900.0,4642.54,71.71
16,2,601.05,5424.57,101.14,10.0,14.8,513.41,831.0,4904.69,46.54
2,10,739.2,3759.81,49.21,11.0,25.9,505.65,735.0,3567.56,47.59
21,4,863.1,3902.49,70.28,10.0,29.6,303.4,733.0,2986.41,53.28
7,11,875.58,5676.45,212.64,7.0,16.7,345.14,771.0,5491.07,133.67
1,8,666.2,2829.94,40.73,18.0,29.6,497.57,545.0,2499.26,29.97
21,9,102.24,4302.76,58.91,12.0,7.4,461.08,133.0,4350.85,61.02
2,10,875.7,4542.04,70.53,16.0,16.7,409.78,863.0,4351.03,67.19
8,7,312.1,2267.2,47.55,13.0,22.2,630.23,375.0,2195.52,39.67
11,9,350.16,4519.47,81.01,17.0,25.9,368.14,635.0,4352.72,71.71
20,10,351.2,4521.73,105.02,11.0,14.8,412.14,308.0,4355.93,78.36
16,2,312.67,3352.99,40.45,7.0,13.0,562.42,317.0,3174.0,43.15
2,6,107.37,3602.93,67.13,16.0,11.1,478.81,98.0,3591.81,84.4
29,4,552.73,2658.97,52.29,3.0,16.7,462.13,441.0,2499.14,43.31
28,5,380.78,4490.27,80.5,11.0,24.1,373.92,346.0,4368.55,73.89
27,1,105.87,4528.13,43.89,4.0,20.4,590.04,201.0,4537.86,43.89
24,12,741.1,3896.85,44.54,3.0,18.5,467.15,641.0,3382.16,44.96
1,12,363.5,5158.47,50.36,3.0,11.1,553.81,144.0,5062.16,48.75
16,5,58.92,4650.16,98.49,8.0,14.8,295.23,54.0,4625.04,95.86
12,8,464.99,4503.09,251.75,16.0,24.1,448.58,528.0,4180.16,92.34
18,7,592.3,4498.14,74.86,17.0,31.5,474.66,782.0,4175.85,58.56
10,7,70.5,4216.48,65.0,22.0,11.1,515.27,45.0,4032.08,53.99
24,9,647.5,2643.41,47.19,14.0,20.4,486.85,533.0,2494.62,37.95
11,12,391.85,3090.0,43.3,6.0,11.1,512.86,375.0,2804.94,45.95
19,6,170.7,4702.69,74.81,15.0,14.8,538.3,104.0,4552.04,120.59
17,7,34.58,2662.16,30.18,15.0,13.0,605.52,26.0,2624.2,44.01
5,3,265.0,3547.89,44.15,2.0,13.0,576.78,241.0,3467.9,44.61
20,6,126.7,3975.32,55.94,11.0,7.4,608.51,107.0,3913.51,54.66
10,6,513.23,2433.58,41.88,11.0,22.2,440.31,301.0,2192.59,36.24
9,3,924.7,3318.27,38.18,9.0,24.1,381.66,965.0,2929.18,29.83
3,2,721.0,4896.51,50.73,6.0,14.8,508.04,634.0,4934.46,96.79
1,1,961.5,4044.76,43.52,7.0,16.7,416.07,918.0,3445.55,51.68
5,4,364.63,4797.36,78.53,7.0,31.5,539.15,443.0,4696.91,51.79
26,6,21.18,4483.58,65.69,15.0,11.1,524.43,54.0,4377.69,65.7
28,8,660.2,4536.42,85.71,14.0,20.4,414.79,577.0,4183.74,80.99
11,8,478.75,2502.26,41.46,16.0,24.1,442.84,564.0,2123.65,40.27
17,4,1333.39,4862.37,76.88,8.0,63.0,387.03,1085.0,4291.92,75.71
8,4,1345.14,4667.12,98.15,6.0,46.3,403.92,1318.0,4271.81,89.84
22,4,607.18,2834.1,54.12,7.0,13.0,440.94,578.0,2508.6,50.79
17,2,464.7,4100.41,52.82,9.0,25.9,606.68,556.0,3727.3,50.84
2,2,453.9,5264.33,50.9,3.0,16.7,515.85,382.0,5145.13,49.33
31,5,186.03,4396.65,178.98,13.0,20.4,418.86,263.0,4350.83,115.81
7,7,57.8,3900.4,82.66,23.0,9.3,570.23,14.0,3851.54,80.45
23,12,600.5,3448.71,42.21,11.0,27.8,481.52,513.0,2884.59,42.67
15,1,704.7,4439.51,56.39,6.0,27.8,431.72,887.0,4213.21,49.67
22,11,98.24,5245.97,60.2,2.0,11.1,428.84,96.0,5269.02,128.13
21,5,629.9,2735.83,49.68,9.0,35.2,391.6,496.0,2508.7,36.17
11,8,453.65,2671.15,43.66,15.0,18.5,411.36,650.0,2347.07,43.43
21,11,103.51,4966.47,65.36,8.0,25.9,516.59,155.0,4739.22,54.45
21,9,523.4,3788.02,61.08,19.0,20.4,402.9,643.0,3669.92,67.78
10,8,421.35,4023.07,51.18,16.0,20.4,457.23,623.0,3589.4,46.0
23,11,551.87,4787.0,54.02,8.0,16.7,561.3,426.0,4520.06,66.86
10,2,1108.8,4361.2,79.72,6.0,20.4,523.21,489.0,4134.94,55.65
12,11,247.27,4791.89,57.55,7.0,9.3,421.02,201.0,4679.11,66.29
28,5,268.2,2501.63,57.34,11.0,14.8,436.2,380.0,2300.33,31.24
20,2,1250.4,5556.57,76.65,7.0,33.3,380.71,1288.0,4999.27,66.02
16,1,226.4,6071.19,143.02,7.0,9.3,464.36,238.0,5839.59,156.31
10,10,271.74,4522.18,97.24,14.0,14.8,465.85,296.0,4512.12,95.49
6,1,334.71,3067.37,47.81,10.0,16.7,425.1,435.0,2813.42,39.16
16,11,223.73,4867.27,58.36,7.0,7.4,538.25,204.0,4798.51,63.79
8,1,332.75,5046.35,67.65,10.0,20.4,529.58,233.0,4545.36,53.33
16,9,1529.32,4508.44,89.14,12.0,33.3,298.29,1227.0,4035.27,53.1
8,12,988.4,5191.07,52.62,3.0,16.7,477.85,1075.0,4581.87,53.25
14,10,272.1,4063.64,72.55,12.0,20.4,461.85,414.0,3960.89,68.01
2,1,964.9,2785.64,52.92,9.0,16.7,401.44,599.0,2537.61,36.48
11,4,323.12,4760.96,66.65,8.0,25.9,484.59,417.0,4637.04,79.69
17,3,22.36,3559.81,47.35,4.0,5.6,674.96,17.0,3624.29,47.14
16,4,1159.1,4077.43,45.0,10.0,33.3,342.73,1241.0,3556.83,58.52
19,4,521.31,4618.49,82.28,8.0,25.9,580.34,310.0,4609.5,92.68
3,9,507.3,4209.1,64.07,16.0,13.0,493.19,547.0,3960.27,74.64
9,11,925.6,5624.86,62.61,11.0,20.4,445.23,770.0,5170.57,64.74
29,12,941.61,3701.52,52.21,5.0,16.7,299.57,1062.0,3575.37,84.48
10,1,384.17,3136.24,36.64,8.0,20.4,436.24,524.0,2926.71,36.3
15,9,309.17,3914.62,65.17,12.0,13.0,455.66,433.0,3583.5,66.0
14,12,464.52,5692.69,49.73,5.0,37.0,504.44,569.0,5662.43,55.09
18,12,194.69,5696.0,273.85,5.0,14.8,467.01,280.0,5389.02,181.06
14,7,59.2,2861.57,31.71,16.0,5.6,683.03,22.0,2442.13,30.49
4,11,571.12,2787.08,39.4,3.0,11.1,530.27,466.0,2599.66,37.66
4,5,361.06,4648.24,74.2,10.0,13.0,479.0,443.0,4354.29,72.95
1,1,1137.42,4137.27,44.6,3.0,24.1,477.4,879.0,3585.15,43.52
7,6,183.51,4418.85,112.82,19.0,20.4,444.55,210.0,4331.85,63.56
19,7,105.58,2633.71,38.45,16.0,7.4,557.86,101.0,2570.06,30.11
5,1,129.99,4030.03,59.93,10.0,16.7,473.86,331.0,3933.47,59.73
20,10,573.3,2582.35,42.57,13.0,35.2,399.02,543.0,2387.89,27.96
26,11,53.98,3576.17,48.44,3.0,9.3,487.67,58.0,3485.55,57.33
27,11,338.1,4411.84,47.84,8.0,9.3,558.58,367.0,4090.36,47.13
8,2,870.4,3387.82,33.52,4.0,11.1,432.45,822.0,3028.96,31.77
19,6,27.53,3819.27,66.61,16.0,7.4,528.95,47.0,3725.38,60.69
7,1,777.48,5951.4,157.12,10.0,25.9,467.1,772.0,5558.15,227.22
14,1,863.15,2946.45,34.0,5.0,18.5,459.01,849.0,2759.99,34.71
12,5,1154.92,3890.22,65.21,13.0,29.6,285.37,1051.0,3844.0,82.04
9,11,878.2,4776.14,75.7,9.0,18.5,525.88,573.0,4388.9,66.2
4,10,559.5,4834.35,101.25,9.0,18.5,523.84,343.0,4503.06,67.14
5,3,116.62,4152.5,46.68,4.0,9.3,599.98,178.0,4049.28,46.04
30,8,185.84,4464.83,71.84,14.0,13.0,422.28,254.0,4256.6,93.6
2,7,149.24,2615.46,49.03,13.0,16.7,564.88,199.0,2476.51,59.19
8,1,812.88,3139.52,41.66,11.0,18.5,459.44,835.0,2690.56,35.48
4,2,1455.46,3502.14,45.47,10.0,16.7,333.04,1221.0,2988.37,28.36
25,11,444.2,5256.67,183.48,5.0,31.5,495.03,791.0,4893.23,73.6
26,2,702.1,4674.84,90.46,8.0,16.7,524.28,580.0,4149.99,50.22
22,11,105.88,4903.03,60.2,1.0,13.0,450.13,88.0,4931.54,60.12
12,1,557.8,3405.82,50.93,5.0,3.7,525.89,352.0,3279.89,50.9
29,12,845.93,3541.41,51.76,4.0,13.0,314.44,930.0,3392.38,50.64
24,11,119.89,4445.09,75.52,3.0,16.7,592.35,132.0,4528.16,83.09
1,7,459.9,4240.09,47.46,13.0,18.5,394.1,353.0,4058.06,54.63
3,5,88.88,4731.07,75.31,10.0,5.6,561.4,158.0,4530.92,76.82
13,2,833.73,4768.8,67.4,7.0,11.1,475.86,752.0,4561.96,51.71
21,8,532.89,4517.41,67.33,17.0,29.6,453.02,672.0,4434.74,58.55
19,12,430.34,3819.25,45.94,5.0,14.8,512.17,378.0,3416.26,43.11
9,3,862.9,4782.87,47.33,12.0,22.2,388.25,901.0,4523.1,48.8
29,12,1348.8,4341.88,48.0,2.0,18.5,339.07,1170.0,3558.35,47.85
8,1,415.2,3135.49,40.03,10.0,3.7,474.06,470.0,2791.25,38.98
12,7,0.9,3496.99,53.84,17.0,7.4,594.08,5.0,3737.13,67.46
27,7,221.6,2468.2,38.81,15.0,11.1,543.61,121.0,2207.52,39.99
9,12,765.1,4222.5,43.31,3.0,13.0,538.61,646.0,4045.71,43.71
21,10,847.7,4509.57,78.43,15.0,29.6,351.66,868.0,4422.59,53.71
25,7,64.2,3467.91,45.8,14.0,14.8,717.74,101.0,3492.65,45.32
20,1,970.5,5210.94,91.0,2.0,24.1,443.45,529.0,5003.07,98.16
4,11,420.73,3662.27,65.47,5.0,22.2,604.95,412.0,3354.84,53.2
12,11,619.65,5645.08,60.28,12.0,25.9,473.27,749.0,5186.2,67.49
1,5,75.01,4302.96,73.53,12.0,13.0,527.77,86.0,4134.14,60.99
24,2,827.52,3227.46,48.97,10.0,20.4,445.41,597.0,2792.45,67.88
1,12,218.6,4331.64,54.14,6.0,13.0,604.79,157.0,4267.73,54.68
25,8,391.3,2453.54,43.68,13.0,33.3,477.46,374.0,2377.77,41.08
6,11,170.69,4980.46,53.85,7.0,0.0,523.37,217.0,4753.93,67.48
27,10,1295.42,2733.66,28.57,9.0,22.2,411.27,950.0,2209.84,22.88
15,11,473.23,2837.08,28.32,11.0,24.1,371.3,776.0,2726.05,38.88
31,12,1159.1,4076.39,59.24,9.0,25.9,347.4,1298.0,3481.21,45.65
22,3,504.0,3860.12,46.8,7.0,11.1,550.24,436.0,3625.78,48.94
9,1,1042.3,3609.68,44.63,9.0,18.5,384.39,1026.0,3141.53,38.98
31,5,223.4,4599.06,80.07,15.0,24.1,435.08,216.0,4559.88,70.7
18,5,270.8,4520.72,69.35,8.0,18.5,522.17,298.0,4579.31,61.68
21,11,1237.82,4988.67,53.13,11.0,37.0,465.4,1109.0,4391.02,53.14
28,4,654.88,4197.38,67.03,9.0,37.0,490.06,668.0,4138.5,125.47
5,9,5.5,4529.33,116.33,11.0,5.6,495.06,11.0,4457.31,88.53
1,6,188.34,3196.11,31.55,8.0,18.5,444.55,301.0,3080.57,47.65
28,8,861.8,4495.84,82.74,16.0,27.8,398.92,859.0,4072.62,76.93
13,9,1270.54,4365.88,67.65,14.0,20.4,420.75,1093.0,4097.22,64.71
15,11,312.92,5472.9,145.06,10.0,5.6,371.43,299.0,5301.82,61.57
25,6,33.67,3014.95,53.64,11.0,7.4,664.29,54.0,2887.06,33.24
30,12,596.29,3966.62,65.74,6.0,20.4,297.27,620.0,3515.58,50.61
11,1,498.23,4832.89,47.55,9.0,20.4,521.13,419.0,4836.82,71.14
7,12,1144.4,4155.74,40.88,5.0,33.3,433.84,1297.0,3541.12,39.1
15,6,1279.86,2972.66,40.75,11.0,38.9,369.04,942.0,2425.03,45.7
2,12,312.4,3485.55,43.32,3.0,13.0,613.15,337.0,3329.39,42.76
18,8,276.53,3117.66,45.47,15.0,13.0,466.86,288.0,2968.85,44.38
3,4,230.7,2941.77,44.42,5.0,13.0,549.22,346.0,2762.42,40.77
1,12,282.6,4804.0,49.45,4.0,14.8,574.61,271.0,4930.59,48.92
20,10,579.7,2846.11,39.84,13.0,27.8,422.22,670.0,2588.78,23.6
20,11,1344.55,4886.48,53.43,9.0,38.9,345.11,1424.0,4076.63,63.08
10,9,197.04,2464.29,72.52,14.0,14.8,634.43,219.0,2326.99,55.56
23,10,37.38,3398.4,40.84,11.0,11.1,705.22,64.0,3399.43,51.33
23,11,595.15,4830.36,54.02,7.0,18.5,560.53,429.0,4494.32,66.81
14,10,292.7,3989.92,72.55,12.0,20.4,461.91,471.0,3875.7,67.39
2,4,807.1,4619.99,91.3,5.0,33.3,440.35,792.0,4349.33,65.4
7,5,591.5,2691.72,41.31,7.0,29.6,480.35,601.0,2556.44,44.87
3,2,599.3,5712.9,225.14,6.0,14.8,472.27,624.0,5643.26,134.49
15,10,514.3,4866.69,65.59,12.0,22.2,324.14,720.0,4683.89,79.28
23,8,350.9,4381.56,52.85,17.0,24.1,396.44,397.0,4291.78,72.28
9,10,161.11,2784.19,38.99,11.0,14.8,576.09,290.0,2744.9,40.46
17,7,473.7,4283.63,96.85,17.0,25.9,490.41,660.0,4256.21,61.0
20,7,235.22,3644.25,52.92,23.0,25.9,492.41,274.0,3572.06,45.38
3,11,567.9,2772.44,39.25,2.0,14.8,553.94,451.0,2681.17,40.63
26,2,674.4,4151.78,45.41,9.0,25.9,504.13,608.0,3784.87,46.81
18,1,751.24,4942.79,57.04,5.0,13.0,457.19,769.0,4712.91,65.66
24,12,627.4,3886.59,43.42,7.0,13.0,487.65,582.0,3382.21,49.52
7,2,1354.4,5384.3,52.01,6.0,25.9,439.02,1009.0,5112.6,57.51
9,7,11.31,3114.58,46.36,18.0,7.4,633.05,22.0,3302.92,48.77
1,12,131.1,5079.65,50.51,6.0,5.6,580.71,138.0,5132.74,69.86
27,4,242.71,4043.4,59.73,10.0,22.2,523.95,223.0,3718.64,102.91
21,7,245.8,3294.02,71.67,18.0,22.2,552.97,244.0,3177.7,71.25
27,9,473.5,2948.49,54.44,9.0,24.1,519.84,447.0,2768.68,70.5
14,11,1383.79,4720.27,51.96,8.0,24.1,336.28,1286.0,4407.73,49.32
22,2,208.6,4321.01,62.48,1.0,14.8,475.32,66.0,4446.06,62.19
21,6,159.0,4465.86,58.07,15.0,14.8,471.47,148.0,4350.72,59.89
3,10,695.93,2951.51,45.95,5.0,14.8,498.33,544.0,2633.35,43.29
7,12,336.22,3076.8,50.54,6.0,9.3,561.93,400.0,2884.29,50.6
31,3,1132.5,3118.82,39.74,4.0,29.6,402.94,1148.0,2646.06,34.7
17,8,287.8,3971.11,63.62,15.0,11.1,432.87,260.0,3739.86,51.85
15,3,261.5,3824.49,47.31,7.0,9.3,594.1,321.0,3778.83,49.68
7,1,574.6,3879.02,40.39,7.0,9.3,492.63,721.0,3500.14,45.37
13,4,1426.52,3998.39,58.71,11.0,25.9,416.76,1232.0,3860.16,56.7
13,12,1272.33,4845.87,59.41,8.0,24.1,444.98,1133.0,4338.69,63.46
21,10,856.1,4635.36,79.55,15.0,38.9,381.27,669.0,4602.55,67.91
6,5,36.06,3197.62,56.53,6.0,0.0,594.11,46.0,3189.96,49.23
22,7,994.1,3681.59,59.87,16.0,25.9,302.56,1001.0,3264.64,73.53
31,1,1446.2,3786.05,33.22,8.0,37.0,347.34,1246.0,3021.72,33.22
25,3,1049.0,3155.82,71.89,1.0,24.1,548.63,722.0,2919.36,45.52
15,8,538.8,2689.73,44.29,16.0,31.5,346.24,698.0,2352.99,37.65
19,3,759.46,4391.68,58.8,9.0,18.5,434.7,850.0,3874.01,77.95
27,7,213.7,2543.95,38.81,14.0,9.3,535.13,140.0,2372.81,41.73
4,12,425.12,5976.1,219.74,4.0,5.6,431.12,378.0,5803.8,318.0
22,3,731.2,4773.18,49.59,9.0,24.1,524.05,609.0,4380.65,51.18
21,11,239.81,4783.3,64.64,6.0,22.2,506.21,229.0,4566.07,54.5
4,6,77.25,3925.88,104.51,12.0,20.4,525.05,92.0,3712.43,87.5
5,5,716.1,2969.53,33.54,11.0,22.2,370.25,745.0,2583.23,33.54
1,4,13.56,3678.86,48.98,11.0,7.4,639.67,29.0,3795.24,58.4
8,2,1152.5,5257.65,73.25,6.0,18.5,461.07,1141.0,4884.1,75.84
7,8,22.62,2581.53,32.68,14.0,9.3,666.21,87.0,2578.67,40.13
2,5,152.71,3071.54,86.69,9.0,16.7,531.34,195.0,2978.7,70.15
20,1,1212.15,5513.35,95.51,11.0,16.7,425.77,1172.0,5070.87,144.43
12,11,785.87,4764.94,55.21,12.0,27.8,510.67,707.0,4268.81,53.56
17,11,280.4,4228.62,52.84,11.0,16.7,472.8,189.0,4232.2,102.55
18,5,105.54,3339.03,41.41,9.0,14.8,645.88,65.0,3331.95,49.13
25,8,247.8,2849.02,40.18,14.0,18.5,544.98,213.0,2700.39,45.38
29,7,239.04,2618.69,43.31,11.0,14.8,594.6,195.0,2593.89,50.53
24,5,896.13,4538.48,79.84,8.0,37.0,376.89,950.0,4135.64,49.56
16,8,348.7,3941.74,48.87,15.0,22.2,483.63,271.0,3725.91,49.42
18,8,456.6,3425.57,55.81,15.0,22.2,360.32,516.0,3280.38,68.27
23,12,598.0,3217.23,26.46,10.0,11.1,508.94,373.0,2813.29,42.22
8,7,364.5,3612.1,61.5,15.0,20.4,600.53,354.0,3462.55,78.52
2,2,156.3,4762.4,62.56,5.0,11.1,550.53,85.0,4544.54,59.16
25,8,464.7,3773.99,55.13,15.0,22.2,411.07,676.0,3466.41,52.01
6,4,327.8,4548.44,48.54,11.0,27.8,534.66,514.0,4362.52,47.56
2,6,281.1,4000.84,69.55,13.0,20.4,488.34,203.0,3815.74,90.17
