Day,Month,ForecastWindProduction,SystemLoadEA,SMPEA,ORKTemperature,ORKWindspeed,CO2Intensity,ActualWindProduction,SystemLoadEP2,SMPEP2
29,2,235.12,3388.53,42.22,8.00,13.00,506.71,257.00,3301.34,47.01
23,12,1140.73,3750.40,46.13,7.00,14.80,385.52,773.00,3524.97,51.43
2,6,107.20,3468.20,64.33,16.00,7.40,497.40,68.00,3417.14,84.40
15,3,270.30,3261.95,47.14,7.00,5.60,560.49,301.00,3161.97,47.59
10,3,1331.02,2820.95,33.16,6.00,40.70,421.66,1175.00,2607.42,35.16
7,2,507.46,5554.37,71.49,7.00,16.70,481.72,884.00,5017.17,63.75
15,1,1059.00,3030.76,41.00,6.00,31.50,357.60,817.00,2609.39,0.00
30,7,587.50,4510.08,73.54,19.00,27.80,418.84,483.00,4306.40,49.38
23,5,1118.45,4556.67,72.13,9.00,29.60,337.95,1022.00,4133.01,67.77
19,3,455.50,3590.84,51.97,2.00,11.10,548.08,336.00,3366.96,50.75
7,5,293.60,3784.62,67.11,10.00,20.40,535.52,424.00,3870.88,88.96
3,11,427.45,3714.79,54.15,8.00,16.70,362.56,358.00,3622.64,54.85
9,2,789.80,3356.68,54.26,7.00,13.00,446.28,777.00,3100.95,65.99
28,9,742.54,4552.24,62.60,13.00,20.40,462.23,729.00,4006.87,61.09
22,9,74.57,2740.80,43.03,8.00,11.10,591.81,125.00,2649.27,40.34
6,6,63.70,3708.04,49.69,11.00,3.70,552.45,6.00,3781.19,49.69
3,4,524.10,3645.90,96.17,2.00,18.50,589.85,460.00,3162.33,93.14
28,12,870.30,3719.89,43.00,2.00,11.10,292.11,684.00,3742.72,60.51
17,5,134.70,3970.74,49.42,7.00,9.30,628.66,63.00,4117.70,64.12
7,10,876.60,4626.26,64.73,16.00,22.20,379.46,1007.00,4210.62,59.20
5,9,30.95,4464.27,72.41,17.00,11.10,500.85,39.00,4301.38,73.02
15,3,758.00,4432.55,59.59,4.00,14.80,492.01,416.00,4265.31,68.61
5,2,1454.36,5940.07,157.40,6.00,35.20,394.54,1390.00,5420.60,137.92
5,11,386.20,5086.60,101.89,6.00,11.10,507.85,298.00,4856.30,80.94
13,5,1189.30,3829.13,85.01,?,?,291.10,1236.00,3304.53,42.04
14,8,146.35,4293.12,57.43,16.00,11.10,379.36,157.00,4282.09,95.67
13,4,262.40,3999.74,48.91,6.00,9.30,609.44,170.00,3866.96,55.84
14,6,947.40,4478.74,60.59,10.00,42.60,421.27,1074.00,4042.34,66.13
20,10,450.10,4140.56,83.11,14.00,22.20,452.12,271.00,3980.40,72.50
15,12,1499.68,4318.66,34.53,11.00,37.00,325.33,1359.00,3939.63,37.98
16,10,762.90,3111.96,39.85,6.00,16.70,529.53,665.00,3028.44,39.15
1,11,343.46,2762.67,33.75,5.00,9.30,539.38,338.00,2544.33,39.87
26,3,713.10,5219.85,84.27,2.00,31.50,461.75,605.00,5024.42,84.27
14,10,84.40,4564.08,56.47,13.00,11.10,396.86,154.00,4470.46,100.69
16,7,639.10,4461.80,99.59,19.00,24.10,454.61,725.00,4330.16,79.81
9,4,665.18,3992.75,86.50,4.00,18.50,537.28,609.00,3576.12,58.94
28,12,1338.75,4531.44,65.16,6.00,29.60,327.90,1243.00,4059.97,50.10
14,11,1471.05,3110.88,38.50,8.00,29.60,339.96,1278.00,2704.56,10.55
24,9,108.90,4724.94,81.66,15.00,13.00,474.79,77.00,4682.88,81.96
27,4,245.49,3967.97,59.71,11.00,16.70,523.50,284.00,3650.11,102.91
20,12,1323.06,4871.04,63.19,8.00,24.10,357.08,1353.00,4544.35,52.83
6,6,55.74,2746.07,45.91,11.00,11.10,515.21,102.00,2678.36,35.76
10,5,301.12,3340.56,62.95,9.00,18.50,509.71,295.00,3059.95,59.12
2,6,328.40,3506.26,51.89,13.00,16.70,493.75,376.00,3379.60,44.08
7,9,68.70,4385.74,94.29,16.00,13.00,556.50,95.00,4651.53,93.32
24,3,1110.01,2863.82,32.35,3.00,33.30,445.86,1130.00,2611.89,35.24
1,4,1364.59,3769.88,39.74,3.00,33.30,433.32,1123.00,2873.63,34.72
12,1,48.70,4435.73,43.94,8.00,5.60,566.99,17.00,4228.24,43.43
6,1,862.65,4397.21,63.83,10.00,22.20,352.70,1031.00,4031.94,47.47
6,1,989.21,3161.64,42.35,9.00,16.70,368.37,825.00,2828.83,35.88
6,5,30.16,2769.43,48.81,5.00,0.00,645.21,63.00,2801.85,41.47
28,3,577.90,3700.53,80.52,-1.00,24.10,619.05,351.00,3532.08,113.59
22,6,1169.66,2478.97,36.15,10.00,22.20,353.14,760.00,2176.75,28.64
26,12,1062.70,4094.58,87.91,9.00,40.70,357.08,1099.00,3610.79,62.33
15,3,235.00,3257.89,41.03,7.00,5.60,486.14,323.00,3085.52,41.03
16,5,55.21,4676.95,98.50,7.00,16.70,300.32,43.00,4592.84,95.86
12,5,290.85,4086.74,111.05,11.00,16.70,404.96,339.00,3833.11,65.78
8,3,502.29,3332.75,46.39,6.00,13.00,506.84,480.00,3223.72,49.51
27,2,593.70,4068.25,71.85,10.00,13.00,543.63,492.00,3646.37,58.79
2,10,841.80,2763.48,37.39,10.00,16.70,494.01,688.00,2404.69,38.28
21,8,119.60,3829.64,68.60,15.00,11.10,494.21,84.00,3724.09,84.69
2,4,729.50,4804.76,133.93,4.00,25.90,448.92,662.00,4384.52,139.98
9,11,282.06,3118.73,35.10,3.00,5.60,490.52,379.00,3103.58,40.82
24,12,1464.25,3368.46,46.23,3.00,44.40,341.34,1283.00,2701.13,30.43
17,12,869.99,4130.76,51.14,5.00,24.10,576.83,780.00,3912.04,51.15
8,10,159.60,4676.12,91.46,16.00,13.00,447.49,163.00,4446.07,65.78
16,11,640.80,4257.06,46.33,12.00,18.50,499.46,545.00,4401.59,55.05
19,3,472.20,3133.62,34.55,2.00,18.50,595.23,318.00,3075.73,32.35
1,1,413.80,4703.00,99.08,6.00,9.30,421.26,360.00,4430.54,55.42
29,9,650.50,4204.05,70.38,14.00,20.40,423.64,641.00,4045.13,107.97
8,9,349.30,3402.23,56.14,12.00,14.80,496.21,374.00,3143.25,50.33
18,6,32.17,4281.81,46.76,13.00,13.00,472.09,61.00,4257.20,60.68
9,11,123.00,4267.22,47.63,6.00,13.00,452.54,70.00,4210.90,52.56
28,12,1531.30,4492.62,67.52,11.00,46.30,291.38,1411.00,4033.61,49.02
11,5,1149.84,2757.94,38.87,8.00,33.30,323.14,779.00,2443.19,25.89
28,10,834.69,2970.98,36.13,8.00,24.10,513.53,825.00,2602.09,31.63
12,12,1420.99,5401.28,61.68,7.00,33.30,468.75,1280.00,4988.06,73.07
14,7,195.60,2668.82,39.52,11.00,20.40,592.36,175.00,2503.34,39.15
7,9,504.34,3692.83,64.88,10.00,22.20,381.79,465.00,3755.11,115.93
22,4,173.00,3971.65,67.13,9.00,20.40,608.93,198.00,3857.16,49.56
20,10,541.40,3547.80,51.30,11.00,20.40,534.99,509.00,3292.26,50.75
26,2,207.70,5222.43,85.94,5.00,18.50,478.37,89.00,4983.66,92.82
11,12,1337.04,3077.29,35.35,10.00,29.60,411.49,1158.00,2711.81,40.28
17,6,64.60,3456.65,50.49,11.00,7.40,598.59,28.00,3441.37,72.09
18,11,935.43,4953.58,68.08,12.00,29.60,500.35,900.00,4642.54,71.71
16,2,601.05,5424.57,101.14,10.00,14.80,513.41,831.00,4904.69,46.54
2,10,739.20,3759.81,49.21,11.00,25.90,505.65,735.00,3567.56,47.59
21,4,863.10,3902.49,70.28,10.00,29.60,303.40,733.00,2986.41,53.28
7,11,875.58,5676.45,212.64,7.00,16.70,345.14,771.00,5491.07,133.67
1,8,666.20,2829.94,40.73,18.00,29.60,497.57,545.00,2499.26,29.97
21,9,102.24,4302.76,58.91,12.00,7.40,461.08,133.00,4350.85,61.02
2,10,875.70,4542.04,70.53,16.00,16.70,409.78,863.00,4351.03,67.19
8,7,312.10,2267.20,47.55,13.00,22.20,630.23,375.00,2195.52,39.67
11,9,350.16,4519.47,81.01,17.00,25.90,368.14,635.00,4352.72,71.71
20,10,351.20,4521.73,105.02,11.00,14.80,412.14,308.00,4355.93,78.36
16,2,312.67,3352.99,40.45,7.00,13.00,562.42,317.00,3174.00,43.15
2,6,107.37,3602.93,67.13,16.00,11.10,478.81,98.00,3591.81,84.40
29,4,552.73,2658.97,52.29,3.00,16.70,462.13,441.00,2499.14,43.31
28,5,380.78,4490.27,80.50,11.00,24.10,373.92,346.00,4368.55,73.89
27,1,105.87,4528.13,43.89,4.00,20.40,590.04,201.00,4537.86,43.89
24,12,741.10,3896.85,44.54,3.00,18.50,467.15,641.00,3382.16,44.96
1,12,363.50,5158.47,50.36,3.00,11.10,553.81,144.00,5062.16,48.75
16,5,58.92,4650.16,98.49,8.00,14.80,295.23,54.00,4625.04,95.86
12,8,464.99,4503.09,251.75,16.00,24.10,448.58,528.00,4180.16,92.34
18,7,592.30,4498.14,74.86,17.00,31.50,474.66,782.00,4175.85,58.56
10,7,70.50,4216.48,65.00,22.00,11.10,515.27,45.00,4032.08,53.99
24,9,647.50,2643.41,47.19,14.00,20.40,486.85,533.00,2494.62,37.95
11,12,391.85,3090.00,43.30,6.00,11.10,512.86,375.00,2804.94,45.95
19,6,170.70,4702.69,74.81,15.00,14.80,538.30,104.00,4552.04,120.59
17,7,34.58,2662.16,30.18,15.00,13.00,605.52,26.00,2624.20,44.01
5,3,265.00,3547.89,44.15,2.00,13.00,576.78,241.00,3467.90,44.61
20,6,126.70,3975.32,55.94,11.00,7.40,608.51,107.00,3913.51,54.66
10,6,513.23,2433.58,41.88,11.00,22.20,440.31,301.00,2192.59,36.24
9,3,924.70,3318.27,38.18,9.00,24.10,381.66,965.00,2929.18,29.83
3,2,721.00,4896.51,50.73,6.00,14.80,508.04,634.00,4934.46,96.79
1,1,961.50,4044.76,43.52,7.00,16.70,416.07,918.00,3445.55,51.68
5,4,364.63,4797.36,78.53,7.00,31.50,539.15,443.00,4696.91,51.79
26,6,21.18,4483.58,65.69,15.00,11.10,524.43,54.00,4377.69,65.70
28,8,660.20,4536.42,85.71,14.00,20.40,414.79,577.00,4183.74,80.99
11,8,478.75,2502.26,41.46,16.00,24.10,442.84,564.00,2123.65,40.27
17,4,1333.39,4862.37,76.88,8.00,63.00,387.03,1085.00,4291.92,75.71
8,4,1345.14,4667.12,98.15,6.00,46.30,403.92,1318.00,4271.81,89.84
22,4,607.18,2834.10,54.12,7.00,13.00,440.94,578.00,2508.60,50.79
17,2,464.70,4100.41,52.82,9.00,25.90,606.68,556.00,3727.30,50.84
2,2,453.90,5264.33,50.90,3.00,16.70,515.85,382.00,5145.13,49.33
31,5,186.03,4396.65,178.98,13.00,20.40,418.86,263.00,4350.83,115.81
7,7,57.80,3900.40,82.66,23.00,9.30,570.23,14.00,3851.54,80.45
23,12,600.50,3448.71,42.21,11.00,27.80,481.52,513.00,2884.59,42.67
15,1,704.70,4439.51,56.39,6.00,27.80,431.72,887.00,4213.21,49.67
22,11,98.24,5245.97,60.20,2.00,11.10,428.84,96.00,5269.02,128.13
21,5,629.90,2735.83,49.68,9.00,35.20,391.60,496.00,2508.70,36.17
11,8,453.65,2671.15,43.66,15.00,18.50,411.36,650.00,2347.07,43.43
21,11,103.51,4966.47,65.36,8.00,25.90,516.59,155.00,4739.22,54.45
21,9,523.40,3788.02,61.08,19.00,20.40,402.90,643.00,3669.92,67.78
10,8,421.35,4023.07,51.18,16.00,20.40,457.23,623.00,3589.40,46.00
23,11,551.87,4787.00,54.02,8.00,16.70,561.30,426.00,4520.06,66.86
10,2,1108.80,4361.20,79.72,6.00,20.40,523.21,489.00,4134.94,55.65
12,11,247.27,4791.89,57.55,7.00,9.30,421.02,201.00,4679.11,66.29
28,5,268.20,2501.63,57.34,11.00,14.80,436.20,380.00,2300.33,31.24
20,2,1250.40,5556.57,76.65,7.00,33.30,380.71,1288.00,4999.27,66.02
16,1,226.40,6071.19,143.02,7.00,9.30,464.36,238.00,5839.59,156.31
10,10,271.74,4522.18,97.24,14.00,14.80,465.85,296.00,4512.12,95.49
6,1,334.71,3067.37,47.81,10.00,16.70,425.10,435.00,2813.42,39.16
16,11,223.73,4867.27,58.36,7.00,7.40,538.25,204.00,4798.51,63.79
8,1,332.75,5046.35,67.65,10.00,20.40,529.58,233.00,4545.36,53.33
16,9,1529.32,4508.44,89.14,12.00,33.30,298.29,1227.00,4035.27,53.10
8,12,988.40,5191.07,52.62,3.00,16.70,477.85,1075.00,4581.87,53.25
14,10,272.10,4063.64,72.55,12.00,20.40,461.85,414.00,3960.89,68.01
2,1,964.90,2785.64,52.92,9.00,16.70,401.44,599.00,2537.61,36.48
11,4,323.12,4760.96,66.65,8.00,25.90,484.59,417.00,4637.04,79.69
17,3,22.36,3559.81,47.35,4.00,5.60,674.96,17.00,3624.29,47.14
16,4,1159.10,4077.43,45.00,10.00,33.30,342.73,1241.00,3556.83,58.52
19,4,521.31,4618.49,82.28,8.00,25.90,580.34,310.00,4609.50,92.68
3,9,507.30,4209.10,64.07,16.00,13.00,493.19,547.00,3960.27,74.64
9,11,925.60,5624.86,62.61,11.00,20.40,445.23,770.00,5170.57,64.74
29,12,941.61,3701.52,52.21,5.00,16.70,299.57,1062.00,3575.37,84.48
10,1,384.17,3136.24,36.64,8.00,20.40,436.24,524.00,2926.71,36.30
15,9,309.17,3914.62,65.17,12.00,13.00,455.66,433.00,3583.50,66.00
14,12,464.52,5692.69,49.73,5.00,37.00,504.44,569.00,5662.43,55.09
18,12,194.69,5696.00,273.85,5.00,14.80,467.01,280.00,5389.02,181.06
14,7,59.20,2861.57,31.71,16.00,5.60,683.03,22.00,2442.13,30.49
4,11,571.12,2787.08,39.40,3.00,11.10,530.27,466.00,2599.66,37.66
4,5,361.06,4648.24,74.20,10.00,13.00,479.00,443.00,4354.29,72.95
1,1,1137.42,4137.27,44.60,3.00,24.10,477.40,879.00,3585.15,43.52
7,6,183.51,4418.85,112.82,19.00,20.40,444.55,210.00,4331.85,63.56
19,7,105.58,2633.71,38.45,16.00,7.40,557.86,101.00,2570.06,30.11
5,1,129.99,4030.03,59.93,10.00,16.70,473.86,331.00,3933.47,59.73
20,10,573.30,2582.35,42.57,13.00,35.20,399.02,543.00,2387.89,27.96
26,11,53.98,3576.17,48.44,3.00,9.30,487.67,58.00,3485.55,57.33
27,11,338.10,4411.84,47.84,8.00,9.30,558.58,367.00,4090.36,47.13
8,2,870.40,3387.82,33.52,4.00,11.10,432.45,822.00,3028.96,31.77
19,6,27.53,3819.27,66.61,16.00,7.40,528.95,47.00,3725.38,60.69
7,1,777.48,5951.40,157.12,10.00,25.90,467.10,772.00,5558.15,227.22
14,1,863.15,2946.45,34.00,5.00,18.50,459.01,849.00,2759.99,34.71
12,5,1154.92,3890.22,65.21,13.00,29.60,285.37,1051.00,3844.00,82.04
9,11,878.20,4776.14,75.70,9.00,18.50,525.88,573.00,4388.90,66.20
4,10,559.50,4834.35,101.25,9.00,18.50,523.84,343.00,4503.06,67.14
5,3,116.62,4152.50,46.68,4.00,9.30,599.98,178.00,4049.28,46.04
30,8,185.84,4464.83,71.84,14.00,13.00,422.28,254.00,4256.60,93.60
2,7,149.24,2615.46,49.03,13.00,16.70,564.88,199.00,2476.51,59.19
8,1,812.88,3139.52,41.66,11.00,18.50,459.44,835.00,2690.56,35.48
4,2,1455.46,3502.14,45.47,10.00,16.70,333.04,1221.00,2988.37,28.36
25,11,444.20,5256.67,183.48,5.00,31.50,495.03,791.00,4893.23,73.60
26,2,702.10,4674.84,90.46,8.00,16.70,524.28,580.00,4149.99,50.22
22,11,105.88,4903.03,60.20,1.00,13.00,450.13,88.00,4931.54,60.12
12,1,557.80,3405.82,50.93,5.00,3.70,525.89,352.00,3279.89,50.90
29,12,845.93,3541.41,51.76,4.00,13.00,314.44,930.00,3392.38,50.64
24,11,119.89,4445.09,75.52,3.00,16.70,592.35,132.00,4528.16,83.09
1,7,459.90,4240.09,47.46,13.00,18.50,394.10,353.00,4058.06,54.63
3,5,88.88,4731.07,75.31,10.00,5.60,561.40,158.00,4530.92,76.82
13,2,833.73,4768.80,67.40,7.00,11.10,475.86,752.00,4561.96,51.71
21,8,532.89,4517.41,67.33,17.00,29.60,453.02,672.00,4434.74,58.55
19,12,430.34,3819.25,45.94,5.00,14.80,512.17,378.00,3416.26,43.11
9,3,862.90,4782.87,47.33,12.00,22.20,388.25,901.00,4523.10,48.80
29,12,1348.80,4341.88,48.00,2.00,18.50,339.07,1170.00,3558.35,47.85
8,1,415.20,3135.49,40.03,10.00,3.70,474.06,470.00,2791.25,38.98
12,7,0.90,3496.99,53.84,17.00,7.40,594.08,5.00,3737.13,67.46
27,7,221.60,2468.20,38.81,15.00,11.10,543.61,121.00,2207.52,39.99
9,12,765.10,4222.50,43.31,3.00,13.00,538.61,646.00,4045.71,43.71
21,10,847.70,4509.57,78.43,15.00,29.60,351.66,868.00,4422.59,53.71
25,7,64.20,3467.91,45.80,14.00,14.80,717.74,101.00,3492.65,45.32
20,1,970.50,5210.94,91.00,2.00,24.10,443.45,529.00,5003.07,98.16
4,11,420.73,3662.27,65.47,5.00,22.20,604.95,412.00,3354.84,53.20
12,11,619.65,5645.08,60.28,12.00,25.90,473.27,749.00,5186.20,67.49
1,5,75.01,4302.96,73.53,12.00,13.00,527.77,86.00,4134.14,60.99
24,2,827.52,3227.46,48.97,10.00,20.40,445.41,597.00,2792.45,67.88
1,12,218.60,4331.64,54.14,6.00,13.00,604.79,157.00,4267.73,54.68
25,8,391.30,2453.54,43.68,13.00,33.30,477.46,374.00,2377.77,41.08
6,11,170.69,4980.46,53.85,7.00,0.00,523.37,217.00,4753.93,67.48
27,10,1295.42,2733.66,28.57,9.00,22.20,411.27,950.00,2209.84,22.88
15,11,473.23,2837.08,28.32,11.00,24.10,371.30,776.00,2726.05,38.88
31,12,1159.10,4076.39,59.24,9.00,25.90,347.40,1298.00,3481.21,45.65
22,3,504.00,3860.12,46.80,7.00,11.10,550.24,436.00,3625.78,48.94
9,1,1042.30,3609.68,44.63,9.00,18.50,384.39,1026.00,3141.53,38.98
31,5,223.40,4599.06,80.07,15.00,24.10,435.08,216.00,4559.88,70.70
18,5,270.80,4520.72,69.35,8.00,18.50,522.17,298.00,4579.31,61.68
21,11,1237.82,4988.67,53.13,11.00,37.00,465.40,1109.00,4391.02,53.14
28,4,654.88,4197.38,67.03,9.00,37.00,490.06,668.00,4138.50,125.47
5,9,5.50,4529.33,116.33,11.00,5.60,495.06,11.00,4457.31,88.53
1,6,188.34,3196.11,31.55,8.00,18.50,444.55,301.00,3080.57,47.65
28,8,861.80,4495.84,82.74,16.00,27.80,398.92,859.00,4072.62,76.93
13,9,1270.54,4365.88,67.65,14.00,20.40,420.75,1093.00,4097.22,64.71
15,11,312.92,5472.90,145.06,10.00,5.60,371.43,299.00,5301.82,61.57
25,6,33.67,3014.95,53.64,11.00,7.40,664.29,54.00,2887.06,33.24
30,12,596.29,3966.62,65.74,6.00,20.40,297.27,620.00,3515.58,50.61
11,1,498.23,4832.89,47.55,9.00,20.40,521.13,419.00,4836.82,71.14
7,12,1144.40,4155.74,40.88,5.00,33.30,433.84,1297.00,3541.12,39.10
15,6,1279.86,2972.66,40.75,11.00,38.90,369.04,942.00,2425.03,45.70
2,12,312.40,3485.55,43.32,3.00,13.00,613.15,337.00,3329.39,42.76
18,8,276.53,3117.66,45.47,15.00,13.00,466.86,288.00,2968.85,44.38
3,4,230.70,2941.77,44.42,5.00,13.00,549.22,346.00,2762.42,40.77
1,12,282.60,4804.00,49.45,4.00,14.80,574.61,271.00,4930.59,48.92
20,10,579.70,2846.11,39.84,13.00,27.80,422.22,670.00,2588.78,23.60
20,11,1344.55,4886.48,53.43,9.00,38.90,345.11,1424.00,4076.63,63.08
10,9,197.04,2464.29,72.52,14.00,14.80,634.43,219.00,2326.99,55.56
23,10,37.38,3398.40,40.84,11.00,11.10,705.22,64.00,3399.43,51.33
23,11,595.15,4830.36,54.02,7.00,18.50,560.53,429.00,4494.32,66.81
14,10,292.70,3989.92,72.55,12.00,20.40,461.91,471.00,3875.70,67.39
2,4,807.10,4619.99,91.30,5.00,33.30,440.35,792.00,4349.33,65.40
7,5,591.50,2691.72,41.31,7.00,29.60,480.35,601.00,2556.44,44.87
3,2,599.30,5712.90,225.14,6.00,14.80,472.27,624.00,5643.26,134.49
15,10,514.30,4866.69,65.59,12.00,22.20,324.14,720.00,4683.89,79.28
23,8,350.90,4381.56,52.85,17.00,24.10,396.44,397.00,4291.78,72.28
9,10,161.11,2784.19,38.99,11.00,14.80,576.09,290.00,2744.90,40.46
17,7,473.70,4283.63,96.85,17.00,25.90,490.41,660.00,4256.21,61.00
20,7,235.22,3644.25,52.92,23.00,25.90,492.41,274.00,3572.06,45.38
3,11,567.90,2772.44,39.25,2.00,14.80,553.94,451.00,2681.17,40.63
26,2,674.40,4151.78,45.41,9.00,25.90,504.13,608.00,3784.87,46.81
18,1,751.24,4942.79,57.04,5.00,13.00,457.19,769.00,4712.91,65.66
24,12,627.40,3886.59,43.42,7.00,13.00,487.65,582.00,3382.21,49.52
7,2,1354.40,5384.30,52.01,6.00,25.90,439.02,1009.00,5112.60,57.51
9,7,11.31,3114.58,46.36,18.00,7.40,633.05,22.00,3302.92,48.77
1,12,131.10,5079.65,50.51,6.00,5.60,580.71,138.00,5132.74,69.86
27,4,242.71,4043.40,59.73,10.00,22.20,523.95,223.00,3718.64,102.91
21,7,245.80,3294.02,71.67,18.00,22.20,552.97,244.00,3177.70,71.25
27,9,473.50,2948.49,54.44,9.00,24.10,519.84,447.00,2768.68,70.50
14,11,1383.79,4720.27,51.96,8.00,24.10,336.28,1286.00,4407.73,49.32
22,2,208.60,4321.01,62.48,1.00,14.80,475.32,66.00,4446.06,62.19
21,6,159.00,4465.86,58.07,15.00,14.80,471.47,148.00,4350.72,59.89
3,10,695.93,2951.51,45.95,5.00,14.80,498.33,544.00,2633.35,43.29
7,12,336.22,3076.80,50.54,6.00,9.30,561.93,400.00,2884.29,50.60
31,3,1132.50,3118.82,39.74,4.00,29.60,402.94,1148.00,2646.06,34.70
17,8,287.80,3971.11,63.62,15.00,11.10,432.87,260.00,3739.86,51.85
15,3,261.50,3824.49,47.31,7.00,9.30,594.10,321.00,3778.83,49.68
7,1,574.60,3879.02,40.39,7.00,9.30,492.63,721.00,3500.14,45.37
13,4,1426.52,3998.39,58.71,11.00,25.90,416.76,1232.00,3860.16,56.70
13,12,1272.33,4845.87,59.41,8.00,24.10,444.98,1133.00,4338.69,63.46
21,10,856.10,4635.36,79.55,15.00,38.90,381.27,669.00,4602.55,67.91
6,5,36.06,3197.62,56.53,6.00,0.00,594.11,46.00,3189.96,49.23
22,7,994.10,3681.59,59.87,16.00,25.90,302.56,1001.00,3264.64,73.53
31,1,1446.20,3786.05,33.22,8.00,37.00,347.34,1246.00,3021.72,33.22
25,3,1049.00,3155.82,71.89,1.00,24.10,548.63,722.00,2919.36,45.52
15,8,538.80,2689.73,44.29,16.00,31.50,346.24,698.00,2352.99,37.65
19,3,759.46,4391.68,58.80,9.00,18.50,434.70,850.00,3874.01,77.95
27,7,213.70,2543.95,38.81,14.00,9.30,535.13,140.00,2372.81,41.73
4,12,425.12,5976.10,219.74,4.00,5.60,431.12,378.00,5803.80,318.00
22,3,731.20,4773.18,49.59,9.00,24.10,524.05,609.00,4380.65,51.18
21,11,239.81,4783.30,64.64,6.00,22.20,506.21,229.00,4566.07,54.50
4,6,77.25,3925.88,104.51,12.00,20.40,525.05,92.00,3712.43,87.50
5,5,716.10,2969.53,33.54,11.00,22.20,370.25,745.00,2583.23,33.54
1,4,13.56,3678.86,48.98,11.00,7.40,639.67,29.00,3795.24,58.40
8,2,1152.50,5257.65,73.25,6.00,18.50,461.07,1141.00,4884.10,75.84
7,8,22.62,2581.53,32.68,14.00,9.30,666.21,87.00,2578.67,40.13
2,5,152.71,3071.54,86.69,9.00,16.70,531.34,195.00,2978.70,70.15
20,1,1212.15,5513.35,95.51,11.00,16.70,425.77,1172.00,5070.87,144.43
12,11,785.87,4764.94,55.21,12.00,27.80,510.67,707.00,4268.81,53.56
17,11,280.40,4228.62,52.84,11.00,16.70,472.80,189.00,4232.20,102.55
18,5,105.54,3339.03,41.41,9.00,14.80,645.88,65.00,3331.95,49.13
25,8,247.80,2849.02,40.18,14.00,18.50,544.98,213.00,2700.39,45.38
29,7,239.04,2618.69,43.31,11.00,14.80,594.60,195.00,2593.89,50.53
24,5,896.13,4538.48,79.84,8.00,37.00,376.89,950.00,4135.64,49.56
16,8,348.70,3941.74,48.87,15.00,22.20,483.63,271.00,3725.91,49.42
18,8,456.60,3425.57,55.81,15.00,22.20,360.32,516.00,3280.38,68.27
23,12,598.00,3217.23,26.46,10.00,11.10,508.94,373.00,2813.29,42.22
8,7,364.50,3612.10,61.50,15.00,20.40,600.53,354.00,3462.55,78.52
2,2,156.30,4762.40,62.56,5.00,11.10,550.53,85.00,4544.54,59.16
25,8,464.70,3773.99,55.13,15.00,22.20,411.07,676.00,3466.41,52.01
6,4,327.80,4548.44,48.54,11.00,27.80,534.66,514.00,4362.52,47.56
2,6,281.10,4000.84,69.55,13.00,20.40,488.34,203.00,3815.74,90.17
